# STARR-OMOP-deid HPO term prevalence — paste-back template
# Fill in `starr_count` for each row, and `starr_release` (same value for all rows).
# Record the single scalar `starr_denominator` in starr_meta.csv (separate file).
# Rows with `mapping_confidence = skip` may be left blank.
hpo_id,label,cohort_count,icd10_codes,mapping_confidence,starr_count,starr_release
HP:0001249,Intellectual disability,70,"F70,F71,F72,F73,F78,F79",high,,
HP:0001263,Global developmental delay,61,"F88,F89,R62.50",high,,
HP:0001250,Seizure,52,"R56.9,G40.*",high,,
HP:0002650,Scoliosis,46,M41.*,high,,
HP:0001252,Hypotonia,38,"P94.2,R29.898",medium,,
HP:0000639,Nystagmus,33,H55.0*,high,,
HP:0000252,Microcephaly,29,Q02,high,,
HP:0004322,Short stature,28,"E34.3,R62.52",high,,
HP:0002240,Hepatomegaly,26,R16.0,high,,
HP:0001260,Dysarthria,26,R47.1,high,,
HP:0001508,Failure to thrive,26,"R62.51,P92.6",high,,
HP:0001347,Hyperreflexia,23,R29.2,medium,,
HP:0000347,Micrognathia,21,"Q67.4,K07.0",medium,,
HP:0000407,Sensorineural hearing impairment,21,"H90.3,H90.5",high,,
HP:0000505,Visual impairment,20,H54.*,high,,
HP:0001344,Absent speech,20,"F80.0,R47.01",medium,,
HP:0000750,Delayed speech and language development,20,"F80.1,F80.2,F80.9",high,,
HP:0001324,Muscle weakness,19,M62.81,high,,
HP:0001945,Fever,19,R50.9,high,,
HP:0002094,Dyspnea,19,"R06.00,R06.02",high,,
HP:0000729,Autistic behavior,19,"F84.0,F84.9",high,,
HP:0001744,Splenomegaly,17,R16.1,high,,
HP:0000218,High palate,17,Q38.5,medium,,
HP:0001257,Spasticity,17,R25.2,medium,,
HP:0001251,Ataxia,17,"R27.0,R27.8,R27.9",high,,
HP:0001288,Gait disturbance,17,"R26.0,R26.2,R26.89,R26.9",high,,
HP:0003487,Babinski sign,17,R29.2,low,,
HP:0001321,Cerebellar hypoplasia,17,Q04.3,medium,,
HP:0001511,Intrauterine growth retardation,16,P05.*,high,,
HP:0002059,Cerebral atrophy,16,G31.9,medium,,
HP:0002013,Vomiting,15,"R11.10,R11.11,R11.2",high,,
HP:0000316,Hypertelorism,15,Q75.2,high,,
HP:0003510,Severe short stature,15,E34.3,medium,,
HP:0000175,Cleft palate,15,Q35.*,high,,
HP:0000648,Optic atrophy,15,H47.2*,high,,
HP:0001382,Joint hypermobility,15,M35.7,high,,
HP:0001903,Anemia,15,D64.9,high,,
HP:0002643,Neonatal respiratory distress,15,P22.*,high,,
HP:0002808,Kyphosis,15,M40.*,high,,
HP:0001332,Dystonia,14,G24.*,high,,
HP:0001761,Pes cavus,14,Q66.7,high,,
HP:0001270,Motor delay,14,R62.0,medium,,
HP:0010864,Severe intellectual disability,14,F72,high,,
HP:0002342,Moderate intellectual disability,14,F71,high,,
HP:0000739,Anxiety,14,F41.*,high,,
HP:0002014,Diarrhea,14,"R19.7,K59.1",high,,
HP:0002119,Ventriculomegaly,13,"Q03.*,G91.9",medium,,
HP:0002079,Hypoplasia of the corpus callosum,13,Q04.0,high,,
HP:0001387,Joint stiffness,13,M25.60-M25.69,high,,
HP:0002515,Waddling gait,13,R26.0,low,,
HP:0001272,Cerebellar atrophy,13,G31.9,medium,,
HP:0000518,Cataract,13,"H25.*,H26.*",high,,
HP:0002716,Lymphadenopathy,13,R59.*,high,,
HP:0012733,Macule,13,,skip,,
HP:0000083,Renal insufficiency,13,N18.*,high,,
HP:0002007,Frontal bossing,13,,skip,,
HP:0001873,Thrombocytopenia,12,D69.6,high,,
HP:0007663,Reduced visual acuity,12,"H54.7,H53.8",medium,,
HP:0000486,Strabismus,12,H50.*,high,,
HP:0005518,Increased mean corpuscular volume,12,,skip,,
